PH,Phosphorus,Potassium,Nitrogen,Temperature,Rainfall,Crop_type,Humidity,Soil_type
7.0,55.0,115.0,80.0,35.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,115.0,85.0,35.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,115.0,90.0,35.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,115.0,95.0,35.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,115.0,100.0,35.0,1100.0,Sugarcane,67.4349833194211,brown
7.5,60.0,100.0,75.0,20.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,100.0,80.0,20.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,100.0,85.0,20.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,100.0,90.0,20.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,100.0,95.0,20.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,100.0,100.0,20.0,1200.0,Sugarcane,67.4349833194211,brown
6.5,50.0,105.0,75.0,25.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,105.0,80.0,25.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,105.0,85.0,25.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,105.0,90.0,25.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,105.0,95.0,25.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,105.0,100.0,25.0,1300.0,Sugarcane,67.4349833194211,brown
7.0,55.0,110.0,75.0,30.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,110.0,80.0,30.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,110.0,85.0,30.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,110.0,90.0,30.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,110.0,95.0,30.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,110.0,100.0,30.0,1400.0,Sugarcane,67.4349833194211,brown
7.5,60.0,115.0,75.0,35.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,115.0,80.0,35.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,115.0,85.0,35.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,115.0,90.0,35.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,115.0,95.0,35.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,115.0,100.0,35.0,1500.0,Sugarcane,67.4349833194211,brown
6.5,25.0,25.0,20.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,25.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,30.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,35.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,40.0,25.0,600.0,Jowar,67.4349833194211,brown
7.0,30.0,30.0,20.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,30.0,25.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,30.0,30.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,30.0,35.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,30.0,40.0,30.0,700.0,Jowar,67.4349833194211,brown
7.5,35.0,35.0,20.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,35.0,25.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,35.0,30.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,35.0,35.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,35.0,40.0,25.0,800.0,Jowar,67.4349833194211,brown
6.5,25.0,40.0,20.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,40.0,25.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,40.0,30.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,40.0,35.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,40.0,40.0,30.0,600.0,Jowar,67.4349833194211,brown
7.0,30.0,25.0,20.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,25.0,25.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,25.0,30.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,25.0,35.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,25.0,40.0,25.0,700.0,Jowar,67.4349833194211,brown
7.5,35.0,30.0,20.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,30.0,25.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,30.0,30.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,30.0,35.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,30.0,40.0,30.0,800.0,Jowar,67.4349833194211,brown
6.5,25.0,35.0,20.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,35.0,25.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,35.0,30.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,35.0,35.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,35.0,40.0,25.0,600.0,Jowar,67.4349833194211,brown
7.0,30.0,40.0,20.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,40.0,25.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,40.0,30.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,40.0,35.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,40.0,40.0,30.0,700.0,Jowar,67.4349833194211,brown
7.5,35.0,25.0,20.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,25.0,25.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,25.0,30.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,25.0,35.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,25.0,40.0,25.0,800.0,Jowar,67.4349833194211,brown
6.5,25.0,30.0,20.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,30.0,25.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,30.0,30.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,30.0,35.0,30.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,30.0,40.0,30.0,600.0,Jowar,67.4349833194211,brown
7.0,30.0,35.0,20.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,35.0,25.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,35.0,30.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,35.0,35.0,25.0,700.0,Jowar,67.4349833194211,brown
7.0,30.0,35.0,40.0,25.0,700.0,Jowar,67.4349833194211,brown
7.5,35.0,40.0,20.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,40.0,25.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,40.0,30.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,40.0,35.0,30.0,800.0,Jowar,67.4349833194211,brown
7.5,35.0,40.0,40.0,30.0,800.0,Jowar,67.4349833194211,brown
6.0,20.0,20.0,40.0,25.0,600.0,Jowar,67.4349833194211,brown
6.0,20.0,20.0,45.0,25.0,600.0,Jowar,67.4349833194211,brown
6.0,20.0,20.0,50.0,25.0,600.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,40.0,30.0,700.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,45.0,30.0,700.0,Jowar,67.4349833194211,brown
6.5,25.0,25.0,50.0,30.0,700.0,Jowar,67.4349833194211,brown
7.0,20.0,25.0,40.0,25.0,800.0,Jowar,67.4349833194211,brown
7.0,20.0,25.0,45.0,25.0,800.0,Jowar,67.4349833194211,brown
7.0,20.0,25.0,50.0,25.0,800.0,Jowar,67.4349833194211,brown
7.5,25.0,20.0,40.0,30.0,600.0,Jowar,67.4349833194211,brown
7.5,25.0,20.0,45.0,30.0,600.0,Jowar,67.4349833194211,brown
7.5,25.0,20.0,50.0,30.0,600.0,Jowar,67.4349833194211,brown
6.0,40.0,50.0,100.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,105.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,110.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,115.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,120.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,125.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,130.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,135.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,140.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,145.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,50.0,150.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,100.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,105.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,110.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,115.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,120.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,125.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,130.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,135.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,140.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,145.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,55.0,150.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,100.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,105.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,110.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,115.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,120.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,125.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,130.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,135.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,140.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,145.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,60.0,150.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,100.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,105.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,110.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,115.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,120.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,125.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,130.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,135.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,140.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,145.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,65.0,150.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,100.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,105.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,110.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,115.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,120.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,125.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,130.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,135.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,140.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,145.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,70.0,150.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,100.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,105.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,110.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,115.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,120.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,125.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,130.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,135.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,140.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,145.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,75.0,150.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,100.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,105.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,110.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,115.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,120.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,125.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,130.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,135.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,140.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,145.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,45.0,50.0,150.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,100.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,105.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,110.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,115.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,120.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,125.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,130.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,135.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,140.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,145.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,50.0,55.0,150.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,100.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,105.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,110.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,115.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,120.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,125.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,130.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,135.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,140.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,145.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,55.0,60.0,150.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,100.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,105.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,110.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,115.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,120.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,125.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,130.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,135.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,140.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,145.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,60.0,65.0,150.0,25.0,800.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,100.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,105.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,110.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,115.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,120.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,125.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,130.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,135.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,140.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,145.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,40.0,70.0,150.0,30.0,900.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,100.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,105.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,110.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,115.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,120.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,125.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,130.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,135.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,140.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,145.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,45.0,75.0,150.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,100.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,105.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,110.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,115.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,120.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,125.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,130.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,135.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,140.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,145.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,50.0,50.0,150.0,25.0,800.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,100.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,105.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,110.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,115.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,120.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,125.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,130.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,135.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,140.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,145.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,55.0,55.0,150.0,30.0,900.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,100.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,105.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,110.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,115.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,120.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,125.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,130.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,135.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,140.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,145.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.0,60.0,60.0,150.0,35.0,1000.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,100.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,105.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,110.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,115.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,120.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,125.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,130.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,135.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,140.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,145.0,25.0,800.0,Cotton,67.4349833194211,brown
6.5,40.0,65.0,150.0,25.0,800.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,100.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,105.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,110.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,115.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,120.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,125.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,130.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,135.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,140.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,145.0,30.0,900.0,Cotton,67.4349833194211,brown
7.0,45.0,70.0,150.0,30.0,900.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,100.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,105.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,110.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,115.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,120.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,125.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,130.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,135.0,35.0,1000.0,Cotton,67.4349833194211,brown
7.5,50.0,75.0,140.0,35.0,1000.0,Cotton,67.4349833194211,brown
